P2V8f,8,5.08,4.7625,0,1.27,43.18,368.3,-124.874,-1.06224,2367.11,-0.000750492,0.000593412,-0.000785398
P2V9f,8,5.08,4.7625,0,1.27,43.18,368.3,-165.514,-1.03033,2367.14,-0.000750492,0.000593412,-0.000785398
P2V1b,8,5.08,4.7625,0,-1.27,43.18,368.3,159.606,-1.28567,2371.34,-0.000750492,0.000593412,-0.000785398
P2V2b,8,5.08,4.7625,0,-1.27,43.18,368.3,118.966,-1.25376,2371.37,-0.000750492,0.000593412,-0.000785398
P2V3b,8,5.08,4.7625,0,-1.27,43.18,368.3,78.326,-1.22184,2371.39,-0.000750492,0.000593412,-0.000785398
P2V4b,8,5.08,4.7625,0,-1.27,43.18,368.3,37.686,-1.18992,2371.42,-0.000750492,0.000593412,-0.000785398
P2V5b,8,5.08,4.7625,0,-1.27,43.18,368.3,-2.954,-1.158,2371.44,-0.000750492,0.000593412,-0.000785398
P2V6b,8,5.08,4.7625,0,-1.27,43.18,368.3,-43.594,-1.12608,2371.46,-0.000750492,0.000593412,-0.000785398
P2V7b,8,5.08,4.7625,0,-1.27,43.18,368.3,-84.234,-1.09416,2371.49,-0.000750492,0.000593412,-0.000785398
P2V8b,8,5.08,4.7625,0,-1.27,43.18,368.3,-124.874,-1.06224,2371.51,-0.000750492,0.000593412,-0.000785398
P2V9b,8,5.08,4.7625,0,-1.27,43.18,368.3,-165.514,-1.03033,2371.54,-0.000750492,0.000593412,-0.000785398
P2H9f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.733698,-162.349,2388.99,0.0031765,0.0023911,-0.000890118
P2H8f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.697523,-121.709,2389.12,0.0031765,0.0023911,-0.000890118
P2H7f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.661349,-81.069,2389.25,0.0031765,0.0023911,-0.000890118
P2H6f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.625174,-40.429,2389.38,0.0031765,0.0023911,-0.000890118
P2H5f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.589,0.211,2389.51,0.0031765,0.0023911,-0.000890118
P2H4f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.552826,40.851,2389.64,0.0031765,0.0023911,-0.000890118
P2H3f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.516651,81.491,2389.77,0.0031765,0.0023911,-0.000890118
P2H2f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.480477,122.131,2389.9,0.0031765,0.0023911,-0.000890118
P2H1f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.444302,162.771,2390.03,0.0031765,0.0023911,-0.000890118
P2H9b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.733698,-162.349,2393.39,0.0031765,0.0023911,-0.000890118
P2H8b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.697523,-121.709,2393.52,0.0031765,0.0023911,-0.000890118
P2H7b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.661349,-81.069,2393.65,0.0031765,0.0023911,-0.000890118
P2H6b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.625174,-40.429,2393.78,0.0031765,0.0023911,-0.000890118
P2H5b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.589,0.211,2393.91,0.0031765,0.0023911,-0.000890118
P2H4b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.552826,40.851,2394.04,0.0031765,0.0023911,-0.000890118
P2H3b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.516651,81.491,2394.17,0.0031765,0.0023911,-0.000890118
P2H2b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.480477,122.131,2394.3,0.0031765,0.0023911,-0.000890118
P2H1b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.444302,162.771,2394.43,0.0031765,0.0023911,-0.000890118
=======

D0V,201,0.635,0.635,-0.244974,0.159,101.6,121.92,-0.423,2.791,597.882,0.005654,-0.0053,-0.0002
D0Vp,201,0.635,0.635,-0.244974,-0.159,101.6,121.92,-0.423,2.791,598.518,0.005654,-0.0053,-0.0002
D0X,160,0.635,0.635,0,0.159,101.6,121.92,-0.552,2.743,623.432,0.00673,0.0008,-0.0001
D0Xp,160,0.635,0.635,0,-0.159,101.6,121.92,-0.552,2.743,624.068,0.00673,0.0008,-0.0001
D0U,201,0.635,0.635,0.244974,0.159,101.6,121.92,-0.794,2.689,648.932,-0.00082,0.0076,0
D0Up,201,0.635,0.635,0.244974,-0.159,101.6,121.92,-0.794,2.689,649.568,-0.00082,0.0076,0
H1L,20,7.0025,7.32,1.5708,0,78.74,140.117,39.19,-0.0491338,666.75,0.002596,-0.004698,-0.000994
H1R,20,7.0025,7.32,1.5708,0,78.74,140.117,-39.55,0.0291338,666.75,0.002596,-0.004698,-0.000994
H1B,23,7.0025,7.32,0,0,162.008,69.85,-0.76518,-35.062,683,0.005077,-0.001118,0.000997
H1T,23,7.0025,7.32,0,0,162.008,69.85,-0.83482,34.788,683,0.005077,-0.001118,0.000997
D1V,384,0.5,0.5,-0.244974,0,152.4,137.16,0.349,-0.173,688.614,0.000355,0.0021,0.00187
D1Vp,384,0.5,0.5,-0.244974,-0.25,152.4,137.16,0.349,-0.173,689.214,0.000355,0.0021,0.00187
D1X,320,0.5,0.5,0,0,152.4,137.16,0.349,-0.173,689.814,0.000355,0.0021,0.00187
D1Xp,320,0.5,0.5,0,-0.25,152.4,137.16,0.349,-0.173,690.414,0.000355,0.0021,0.00187
D1U,384,0.5,0.5,0.244974,0,152.4,137.16,0.349,-0.173,691.014,0.000355,0.0021,0.00187
D1Up,384,0.5,0.5,0.244974,-0.25,152.4,137.16,0.349,-0.173,691.614,0.000355,0.0021,0.00187
DP1TL,80,1.1,1.1,1.5708,0,80,88,40,51.6276,798,0,0,0
DP1TR,80,1.1,1.1,1.5708,0,80,88,-40,51.6276,798,0,0,0
DP1BR,80,1.1,1.1,1.5708,0,80,88,-40,-51.6276,798,0,0,0
DP1BL,80,1.1,1.1,1.5708,0,80,88,40,-51.6276,798,0,0,0
D2V,128,2.021,2.021,-0.244974,-0.505,233.274,264.16,-2.45704,-0.733593,1314.98,0.000403,0.002301,-0.002945
D2Vp,128,2.021,2.021,-0.244974,0.505,233.274,264.16,-2.44096,-0.736408,1321.96,0.000403,0.002301,-0.002945
D2Xp,112,2.083,2.083,0,-0.521,233.274,264.16,-0.821354,-0.0440208,1340.36,0.002571,0.000674,0.002314
D2X,112,2.083,2.083,0,0.521,233.274,264.16,-0.816646,-0.0619792,1347.34,0.002571,0.000674,0.002314
D2U,128,2.021,2.021,0.244974,-0.505,233.274,264.16,-0.465114,-0.800546,1365.99,-0.001608,-0.002341,0.004881
D2Up,128,2.021,2.021,0.244974,0.505,233.274,264.16,-0.481466,-0.789314,1372.98,-0.001608,-0.002341,0.004881
H2R,19,12.6825,13,1.5708,0,132,241.285,-67.5545,-0.402368,1404.78,-0.00107338,-0.0022794,-0.0000610865
H2L,19,12.6825,13,1.5708,0,132,241.285,64.4455,-0.410432,1405.08,-0.00107338,-0.0022794,-0.0000610865
H2B,16,12.6825,13,0,0,203.238,152,-0.937406,-76.0406,1420.95,0.00215548,-0.00460068,0.00293913
H2T,16,12.6825,13,0,0,203.238,152,-1.38415,75.9594,1421.27,0.00215548,-0.00460068,0.00293913
DP2TL,50,1.9,1.9,1.5708,0,100,95,50,55.1412,1471,0,0,0
DP2BR,50,1.9,1.9,1.5708,0,100,95,-50,-55.1412,1471,0,0,0
